date,title,name,type,constellation
2021-09-09,M16 Close Up,Serpens Cauda,Constellation,NA
2021-09-10,Rosetta's Comet in View,Churyumov-Gerasimenko,Comet,NA
2021-09-10,Rosetta's Comet in View,Taurus,Constellation,NA
2021-09-10,Rosetta's Comet in View,Jupiter,Planet,NA
2021-09-10,Rosetta's Comet in View,Sun,Star,NA
2021-09-11,Saturn at Night,Saturn,Planet,NA
2021-09-11,Saturn at Night,Sun,Star,NA
2021-09-12,A Spiral Aurora over Iceland,Sun,Star,NA
2021-09-12,A Spiral Aurora over Iceland,Moon,Moon,NA
2021-09-13,Night Sky Reflected,Small Magellanic Cloud,Galaxy,NA
2021-09-13,Night Sky Reflected,Large Magellanic Cloud,Galaxy,NA
2021-09-13,Night Sky Reflected,Milky Way Galaxy,Galaxy,NA
2021-09-13,Night Sky Reflected,Jupiter,Planet,NA
2021-09-14,Mars Panorama 360 from Curiosity,Mars,Planet,NA
2021-09-16,North America and the Pelican,North America Nebula,Nebula,NA
2021-09-16,North America and the Pelican,Pelican Nebula,Nebula,NA
2021-09-16,North America and the Pelican,Orion Nebula,Nebula,NA
2021-09-16,North America and the Pelican,Deneb,Star,NA
2021-09-16,North America and the Pelican,Cygnus,Constellation,NA
2021-09-17,Video: Flash on Jupiter,Jupiter,Planet,NA
2021-09-17,Video: Flash on Jupiter,Io,Moon,NA
2021-09-17,Video: Flash on Jupiter,Comet Shoemaker-Levy 9,Comet,NA
2021-09-17,Video: Flash on Jupiter,Asteroid,Asteroid,NA
2021-09-18,Rubin's Galaxy,Milky Way,Galaxy,NA
2021-09-18,Rubin's Galaxy,UGC 2885,Galaxy,NA
2021-09-18,Rubin's Galaxy,Perseus,Constellation,NA
2021-09-19,Rings and Seasons of Saturn,Saturn,Planet,NA
2021-09-19,Rings and Seasons of Saturn,Sun,Star,NA
2021-09-20,Lynds Dark Nebula 1251,Lynds Dark Nebula 1251,Nebula,NA
2021-09-20,Lynds Dark Nebula 1251,Milky Way,Galaxy,NA
2021-09-20,Lynds Dark Nebula 1251,Herbig-Haro objects,Star,NA
2021-09-20,Lynds Dark Nebula 1251,galaxies,Galaxy,NA
2021-09-21,Sun Spot Hill,Sun,Star,NA
2021-09-22,Equinox on a Spinning Earth,Sun,Star,NA
2021-09-23,Harvest Moon Trail,Moon,Moon,NA
2021-09-24,Perseid Outburst at Westmeath Lookout,Perseid meteors,Asteroid,NA
2021-09-24,Perseid Outburst at Westmeath Lookout,Comet 109P/Swift-Tuttle,Comet,NA
2021-09-25,The Bubble and the Star Cluster,Bubble Nebula,Nebula,NA
2021-09-25,The Bubble and the Star Cluster,M52,Cluster,NA
2021-09-25,The Bubble and the Star Cluster,Star,Star,NA
2021-09-25,The Bubble and the Star Cluster,Moon,Moon,NA
2021-09-25,The Bubble and the Star Cluster,Cassiopeia,Constellation,NA
2021-09-26,The Red Square Nebula,Red Square Nebula,Nebula,NA
2021-09-26,The Red Square Nebula,MWC 922,Star,NA
2021-09-26,The Red Square Nebula,supernova 1987A,Star,NA
2021-09-27,Unwrapped: Five Decade Old Lunar Selfie,Moon,Moon,NA
2021-09-27,Unwrapped: Five Decade Old Lunar Selfie,Earth,Planet,NA
2021-09-28,Night of the Perseids,Milky Way Galaxy,Galaxy,NA
2021-09-28,Night of the Perseids,Orion,Constellation,NA
2021-09-28,Night of the Perseids,Sun,Star,NA
2021-09-30,The Hydrogen Clouds of M33,M33,Galaxy,NA
2021-09-30,The Hydrogen Clouds of M33,Triangulum Galaxy,Galaxy,NA
2021-09-30,The Hydrogen Clouds of M33,NGC604,Nebula,NA
2021-10-01,The Central Milky Way from Lagoon to Pipe,Milky Way Galaxy,Galaxy,NA
2021-10-01,The Central Milky Way from Lagoon to Pipe,Pipe Nebula,Nebula,NA
2021-10-01,The Central Milky Way from Lagoon to Pipe,B59,Nebula,NA
2021-10-01,The Central Milky Way from Lagoon to Pipe,B72,Nebula,NA
2021-10-01,The Central Milky Way from Lagoon to Pipe,B77,Nebula,NA
2021-10-01,The Central Milky Way from Lagoon to Pipe,B78,Nebula,NA
2021-10-01,The Central Milky Way from Lagoon to Pipe,Ophiuchus,Constellation,NA
2021-10-01,The Central Milky Way from Lagoon to Pipe,M8,Nebula,NA
2021-10-01,The Central Milky Way from Lagoon to Pipe,M20,Nebula,NA
2021-10-01,The Central Milky Way from Lagoon to Pipe,NGC 6559,Nebula,NA
2021-10-01,The Central Milky Way from Lagoon to Pipe,Lagoon Nebula,Nebula,NA
2021-10-01,The Central Milky Way from Lagoon to Pipe,Trifid,Nebula,NA
2021-10-01,The Central Milky Way from Lagoon to Pipe,Sagittarius,Constellation,NA
2021-10-02,A Light and Dusty Night,Venus,Planet,NA
2021-10-02,A Light and Dusty Night,Milky Way,Galaxy,NA
2021-10-02,A Light and Dusty Night,Alpha Centauri,Star,NA
2021-10-03,The Holographic Principle and a Teapot,Black Hole,Black Hole,NA
2021-10-04,NGC 4676: When Mice Collide,Mice,Galaxy,NA
2021-10-04,NGC 4676: When Mice Collide,NGC 4676,Galaxy,NA
2021-10-04,NGC 4676: When Mice Collide,Coma Berenices,Constellation,NA
2021-10-04,NGC 4676: When Mice Collide,Coma Cluster of Galaxies,Cluster,NA
2021-10-05,Sunrise at the South Pole,Sun,Star,NA
2021-10-06,M43: Streams of Orion,Orion Nebula,Nebula,NA
2021-10-06,M43: Streams of Orion,Trapezium,Cluster,NA
2021-10-07,NGC 6559: East of the Lagoon,Lagoon Nebula,Nebula,NA
2021-10-07,NGC 6559: East of the Lagoon,NGC 6559,Nebula,NA
2021-10-07,NGC 6559: East of the Lagoon,Moon,Moon,NA
2021-10-07,NGC 6559: East of the Lagoon,Milky Way,Galaxy,NA
2021-10-07,NGC 6559: East of the Lagoon,Sagittarius,Constellation,NA
2021-10-08,The Double Cluster in Perseus,Double Cluster,Cluster,NA
2021-10-08,The Double Cluster in Perseus,h Persei,Cluster,NA
2021-10-08,The Double Cluster in Perseus,Chi Persei,Cluster,NA
2021-10-08,The Double Cluster in Perseus,NGC 869,Cluster,NA
2021-10-08,The Double Cluster in Perseus,NGC 884,Cluster,NA
2021-10-08,The Double Cluster in Perseus,Moon,Moon,NA
2021-10-08,The Double Cluster in Perseus,Perseus,Constellation,NA
2021-10-09,50 Light-years to 51 Pegasi,51 Pegasi,Star,NA
2021-10-09,50 Light-years to 51 Pegasi,Dimidium,Planet,NA
2021-10-09,50 Light-years to 51 Pegasi,Sun,Star,NA
2021-10-09,50 Light-years to 51 Pegasi,Mercury,Planet,NA
2021-10-09,50 Light-years to 51 Pegasi,Jupiter,Planet,NA
2021-10-10,Full Moon Silhouettes,Moon,Moon,NA
2021-10-11,Juno Flyby of Ganymede and Jupiter,Ganymede,Moon,NA
2021-10-11,Juno Flyby of Ganymede and Jupiter,Jupiter,Planet,NA
2021-10-11,Juno Flyby of Ganymede and Jupiter,Europa,Moon,NA
2021-10-12,Fireball over Lake Louise,Solar System,Constellation,NA
2021-10-13,NGC 7822: Cosmic Question Mark,NGC 7822,Nebula,NA
2021-10-13,NGC 7822: Cosmic Question Mark,Cepheus,Constellation,NA
2021-10-13,NGC 7822: Cosmic Question Mark,stars,Star,NA
2021-10-14,NGC 7293: The Helix Nebula,Helix Nebula,Nebula,NA
2021-10-14,NGC 7293: The Helix Nebula,Sun,Star,NA
2021-10-15,NGC 289: Swirl in the Southern Sky,NGC 289,Galaxy,NA
2021-10-15,NGC 289: Swirl in the Southern Sky,Milky Way,Galaxy,NA
2021-10-15,NGC 289: Swirl in the Southern Sky,Sculptor,Constellation,NA
2021-10-16,The Moona Lisa,Moon,Moon,NA
2021-10-16,The Moona Lisa,Sun,Star,NA
2021-10-17,The Einstein Cross Gravitational Lens,Quasar,Galaxy,NA
2021-10-17,The Einstein Cross Gravitational Lens,Galaxy,Galaxy,NA
2021-10-17,The Einstein Cross Gravitational Lens,Star,Star,NA
2021-10-18,Earthshine Moon over Sicily,Moon,Moon,NA
2021-10-18,Earthshine Moon over Sicily,Venus,Planet,NA
2021-10-18,Earthshine Moon over Sicily,Dschubba,Star,NA
2021-10-18,Earthshine Moon over Sicily,Antares,Star,NA
2021-10-19,Palomar 6: Globular Star Cluster,Palomar 6,Cluster,NA
2021-10-19,Palomar 6: Globular Star Cluster,Milky Way Galaxy,Galaxy,NA
2021-10-20,Lucy Launches to Eight Asteroids,Sun,Star,NA
2021-10-20,Lucy Launches to Eight Asteroids,Jupiter,Planet,NA
2021-10-20,Lucy Launches to Eight Asteroids,Asteroid,Asteroid,NA
2021-10-21,SH2-308: The Dolphin-head Nebula,Dolphin-head Nebula,Nebula,NA
2021-10-21,SH2-308: The Dolphin-head Nebula,Wolf-Rayet star,Star,NA
2021-10-21,SH2-308: The Dolphin-head Nebula,Sun,Star,NA
2021-10-21,SH2-308: The Dolphin-head Nebula,Canis Major,Constellation,NA
2021-10-22,A Comet and a Crab,Crab Nebula,Nebula,NA
2021-10-22,A Comet and a Crab,Comet 67P Churyumov-Gerasimenko,Comet,NA
2021-10-22,A Comet and a Crab,Sun,Star,NA
2021-10-22,A Comet and a Crab,Taurus,Constellation,NA
2021-10-23,3D Bennu,Bennu,Asteroid,NA
2021-10-24,Halloween and the Ghost Head Nebula,Ghost Head Nebula,Nebula,NA
2021-10-24,Halloween and the Ghost Head Nebula,Large Magellanic Cloud,Galaxy,NA
2021-10-24,Halloween and the Ghost Head Nebula,Milky Way Galaxy,Galaxy,NA
2021-10-25,Road to the Galactic Center,Milky Way Galaxy,Galaxy,NA
2021-10-25,Road to the Galactic Center,Lagoon Nebula,Nebula,NA
2021-10-25,Road to the Galactic Center,Trifid Nebula,Nebula,NA
2021-10-25,Road to the Galactic Center,stars,Star,NA
2021-10-26,Jupiter Rotates,Jupiter,Planet,NA
2021-10-26,Jupiter Rotates,Great Red Spot,Planet,NA
2021-10-27,NGC 6995: The Bat Nebula,Bat Nebula,Nebula,NA
2021-10-27,NGC 6995: The Bat Nebula,Veil Nebula,Nebula,NA
2021-10-27,NGC 6995: The Bat Nebula,Moon,Moon,NA
2021-10-27,NGC 6995: The Bat Nebula,Swan,Constellation,NA
2021-10-27,NGC 6995: The Bat Nebula,Witch's Broom Nebula,Nebula,NA
2021-10-28,Mirach's Ghost,Mirach,Star,NA
2021-10-28,Mirach's Ghost,Mirach's Ghost,Galaxy,NA
2021-10-28,Mirach's Ghost,NGC 404,Galaxy,NA
2021-10-28,Mirach's Ghost,Sun,Star,NA
2021-10-29,Haunting the Cepheus Flare,Cepheus Flare,Nebula,NA
2021-10-29,Haunting the Cepheus Flare,Milky Way,Galaxy,NA
2021-10-29,Haunting the Cepheus Flare,Ghost Nebula,Nebula,NA
2021-10-29,Haunting the Cepheus Flare,Iris Nebula,Nebula,NA
2021-10-29,Haunting the Cepheus Flare,NGC 7023,Nebula,NA
2021-10-30,A Rorschach Aurora,Sun,Star,NA
2021-10-31,Dark Matter in a Simulated Universe,Galaxy,Galaxy,NA
2021-11-01,A Waterfall and the Milky Way,Milky Way Galaxy,Galaxy,NA
2021-11-01,A Waterfall and the Milky Way,Vega,Star,NA
2021-11-01,A Waterfall and the Milky Way,Summer Triangle,Constellation,NA
2021-11-02,SN Requiem: A Supernova Seen Three Times So Far,Supernova,Star,NA
2021-11-02,SN Requiem: A Supernova Seen Three Times So Far,Galaxy,Galaxy,NA
2021-11-02,SN Requiem: A Supernova Seen Three Times So Far,Cluster,Cluster,NA
2021-11-03,The Horsehead and Flame Nebulas,Horsehead Nebula,Nebula,NA
2021-11-03,The Horsehead and Flame Nebulas,Flame Nebula,Nebula,NA
2021-11-03,The Horsehead and Flame Nebulas,IC 432,Nebula,NA
2021-11-03,The Horsehead and Flame Nebulas,NGC 2023,Nebula,NA
2021-11-04,NGC 147 and NGC 185,Andromeda Galaxy,Galaxy,NA
2021-11-04,NGC 147 and NGC 185,M32,Galaxy,NA
2021-11-04,NGC 147 and NGC 185,M110,Galaxy,NA
2021-11-04,NGC 147 and NGC 185,NGC 147,Galaxy,NA
2021-11-04,NGC 147 and NGC 185,NGC 185,Galaxy,NA
2021-11-04,NGC 147 and NGC 185,Cassiopeia II,Galaxy,NA
2021-11-05,The Dark Seahorse in Cepheus,Seahorse Nebula,Nebula,NA
2021-11-05,The Dark Seahorse in Cepheus,Cepheus,Constellation,NA
2021-11-05,The Dark Seahorse in Cepheus,Milky Way,Galaxy,NA
2021-11-06,The Galaxy Between Two Friends,Milky Way,Galaxy,NA
2021-11-06,The Galaxy Between Two Friends,Cassiopeia,Constellation,NA
2021-11-06,The Galaxy Between Two Friends,Perseus,Constellation,NA
2021-11-06,The Galaxy Between Two Friends,Andromeda galaxy,Galaxy,NA
2021-11-06,The Galaxy Between Two Friends,Triangulum galaxy,Galaxy,NA
2021-11-06,The Galaxy Between Two Friends,Moon,Moon,NA
2021-11-07,The Cat's Eye Nebula in Optical and X-ray,Cat's Eye Nebula,Nebula,NA
2021-11-07,The Cat's Eye Nebula in Optical and X-ray,Chandra Observatory,Nebula,NA
2021-11-08,A Filament Leaps from the Sun,Sun,Star,NA
2021-11-09,All of These Space Images are Fake Except One,Sun,Star,NA
2021-11-09,All of These Space Images are Fake Except One,Galaxy,Galaxy,NA
2021-11-10,Video of a Green Flash,Sun,Star,NA
2021-11-11,NGC 1333: Stellar Nursery in Perseus,Perseus,Constellation,NA
2021-11-11,NGC 1333: Stellar Nursery in Perseus,NGC 1333,Nebula,NA
2021-11-11,NGC 1333: Stellar Nursery in Perseus,Sun,Star,NA
2021-11-12,M33: The Triangulum Galaxy,Triangulum Galaxy,Galaxy,NA
2021-11-12,M33: The Triangulum Galaxy,Pinwheel Galaxy,Galaxy,NA
2021-11-12,M33: The Triangulum Galaxy,Andromeda Galaxy,Galaxy,NA
2021-11-12,M33: The Triangulum Galaxy,Milky Way,Galaxy,NA
2021-11-12,M33: The Triangulum Galaxy,NGC 604,Nebula,NA
2021-11-13,Rosetta's Comet in Gemini,Churyumov-Gerasimenko,Comet,NA
2021-11-13,Rosetta's Comet in Gemini,Upsilon Geminorum,Star,NA
2021-11-13,Rosetta's Comet in Gemini,Pollux,Star,NA
2021-11-13,Rosetta's Comet in Gemini,Beta Geminorum,Star,NA
2021-11-13,Rosetta's Comet in Gemini,Gemini,Constellation,NA
2021-11-13,Rosetta's Comet in Gemini,Sun,Star,NA
2021-11-13,Rosetta's Comet in Gemini,Earth,Planet,NA
2021-11-14,How to Identify that Light in the Sky,Venus,Planet,NA
2021-11-14,How to Identify that Light in the Sky,Mars,Planet,NA
2021-11-15,Light Pillar over Volcanic Etna,Sun,Star,NA
2021-11-15,Light Pillar over Volcanic Etna,Mount Etna,Star,NA
2021-11-16,Geminids from Gemini,Sun,Star,NA
2021-11-16,Geminids from Gemini,3200 Phaethon,Asteroid,NA
2021-11-16,Geminids from Gemini,Gemini,Constellation,NA
2021-11-16,Geminids from Gemini,Leonids,Constellation,NA
2021-11-16,Geminids from Gemini,Moon,Moon,NA
2021-11-17,NGC 3314: When Galaxies Overlap,NGC 3314a,Galaxy,NA
2021-11-17,NGC 3314: When Galaxies Overlap,NGC 3314b,Galaxy,NA
2021-11-17,NGC 3314: When Galaxies Overlap,Hydra Cluster of Galaxies,Cluster,NA
2021-11-18,Full Moonlight,Moon,Moon,NA
2021-11-19,NGC 281: Starless with Stars,NGC 281,Nebula,NA
2021-11-19,NGC 281: Starless with Stars,IC 1590,Cluster,NA
2021-11-19,NGC 281: Starless with Stars,Pacman Nebula,Nebula,NA
2021-11-19,NGC 281: Starless with Stars,Cassiopeia,Constellation,NA
2021-11-20,An Almost Total Lunar Eclipse,Moon,Moon,NA
2021-11-20,An Almost Total Lunar Eclipse,Pleiades,Cluster,NA
2021-11-20,An Almost Total Lunar Eclipse,Taurus,Constellation,NA
2021-11-21,Introducing Comet Leonard,Comet Leonard,Comet,NA
2021-11-21,Introducing Comet Leonard,Mars,Planet,NA
2021-11-21,Introducing Comet Leonard,Venus,Planet,NA
2021-11-21,Introducing Comet Leonard,Sun,Star,NA
2021-11-22,Lunar Eclipse over a Skyscraper,Moon,Moon,NA
2021-11-22,Lunar Eclipse over a Skyscraper,Earth,Planet,NA
2021-11-22,Lunar Eclipse over a Skyscraper,Sun,Star,NA
2021-11-23,The Sun in X-rays from NuSTAR,Sun,Star,NA
2021-11-24,Pleiades: The Seven Sisters Star Cluster,Pleiades,Cluster,NA
2021-11-24,Pleiades: The Seven Sisters Star Cluster,Taurus,Constellation,NA
2021-11-24,Pleiades: The Seven Sisters Star Cluster,Moon,Moon,NA
2021-11-25,At the Shadow's Edge,Moon,Moon,NA
2021-11-26,Great Refractor and Lunar Eclipse,Moon,Moon,NA
2021-11-26,Great Refractor and Lunar Eclipse,Pleiades,Cluster,NA
2021-11-27,Messier 101,Milky Way,Galaxy,NA
2021-11-27,Messier 101,Pinwheel Galaxy,Galaxy,NA
2021-11-27,Messier 101,Ursa Major,Constellation,NA
2021-11-28,A High Cliff on Comet Churyumov-Gerasimenko,Comet Churyumov-Gerasimenko,Comet,NA
2021-11-29,The Extraordinary Spiral in LL Pegasi,LL Pegasi,Star,NA
2021-11-29,The Extraordinary Spiral in LL Pegasi,Spiral,Nebula,NA
2021-11-29,The Extraordinary Spiral in LL Pegasi,stars,Star,NA
2021-11-30,In Motion: Uranus and Moons,Uranus,Planet,NA
2021-11-30,In Motion: Uranus and Moons,Saturn,Planet,NA
2021-11-30,In Motion: Uranus and Moons,Titania,Moon,NA
2021-11-30,In Motion: Uranus and Moons,Oberon,Moon,NA
2021-11-30,In Motion: Uranus and Moons,Umbriel,Moon,NA
2021-11-30,In Motion: Uranus and Moons,Ariel,Moon,NA
2021-11-30,In Motion: Uranus and Moons,Sun,Star,NA
2021-12-01,A Blue-Banded Blood Moon,Moon,Moon,NA
2021-12-01,A Blue-Banded Blood Moon,Sun,Star,NA
2021-12-02,NGC 6822: Barnard's Galaxy,Barnard's Galaxy,Galaxy,NA
2021-12-02,NGC 6822: Barnard's Galaxy,Small Magellanic Cloud,Galaxy,NA
2021-12-02,NGC 6822: Barnard's Galaxy,Milky Way,Galaxy,NA
2021-12-02,NGC 6822: Barnard's Galaxy,Sagittarius,Constellation,NA
2021-12-03,Comet Leonard and the Whale Galaxy,Comet Leonard,Comet,NA
2021-12-03,Comet Leonard and the Whale Galaxy,Whale Galaxy,Galaxy,NA
2021-12-03,Comet Leonard and the Whale Galaxy,NGC 4631,Galaxy,NA
2021-12-03,Comet Leonard and the Whale Galaxy,NGC 4656,Galaxy,NA
2021-12-03,Comet Leonard and the Whale Galaxy,Hockey Stick,Galaxy,NA
2021-12-03,Comet Leonard and the Whale Galaxy,Venus,Planet,NA
2021-12-03,Comet Leonard and the Whale Galaxy,Sun,Star,NA
2021-12-04,Iridescent by Moonlight,Moon,Moon,NA
2021-12-04,Iridescent by Moonlight,Pleiades,Cluster,NA
2021-12-05,Total Solar Eclipse Below the Bottom of the World,Sun,Star,NA
2021-12-05,Total Solar Eclipse Below the Bottom of the World,Moon,Moon,NA
2021-12-05,Total Solar Eclipse Below the Bottom of the World,Mercury,Planet,NA
2021-12-06,Space Station Silhouette on the Moon,Moon,Moon,NA
2021-12-06,Space Station Silhouette on the Moon,Tycho,Moon,NA
2021-12-07,Ninety Gravitational Wave Spectrograms and Counting,Black Hole,Black Hole,NA
2021-12-07,Ninety Gravitational Wave Spectrograms and Counting,Neutron Star,Star,NA
2021-12-08,Comet Hale-Bopp Over Val Parola Pass,Comet Hale-Bopp,Comet,NA
2021-12-08,Comet Hale-Bopp Over Val Parola Pass,Comet Leonard,Comet,NA
2021-12-09,A Total Eclipse of the Sun,Sun,Star,NA
2021-12-09,A Total Eclipse of the Sun,Moon,Moon,NA
2021-12-10,Eclipse on a Polar Day,Sun,Star,NA
2021-12-10,Eclipse on a Polar Day,Moon,Moon,NA
2021-12-11,Postcard from the South Pole,Sun,Star,NA
2021-12-11,Postcard from the South Pole,Moon,Moon,NA
2021-12-12,Comet Leonard Before Star Cluster M3,Comet Leonard,Comet,NA
2021-12-12,Comet Leonard Before Star Cluster M3,Venus,Planet,NA
2021-12-12,Comet Leonard Before Star Cluster M3,Sun,Star,NA
2021-12-12,Comet Leonard Before Star Cluster M3,M3,Cluster,NA
2021-12-13,Meteors and Auroras over Iceland,Milky Way Galaxy,Galaxy,NA
2021-12-13,Meteors and Auroras over Iceland,Geminids,Asteroid,NA
2021-12-14,HH 666: Carina Dust Pillar with Jet,Carina Nebula,Nebula,NA
2021-12-14,HH 666: Carina Dust Pillar with Jet,Herbig-Haro 666,Star,NA
2021-12-15,Comet Leonard from Space,Comet Leonard,Comet,NA
2021-12-15,Comet Leonard from Space,stars,Star,NA
2021-12-16,Geminids of the South,Moon,Moon,NA
2021-12-16,Geminids of the South,Asteroid 3200 Phaethon,Asteroid,NA
2021-12-17,Geminid of the North,Milky Way,Galaxy,NA
2021-12-17,Geminid of the North,Capella,Star,NA
2021-12-17,Geminid of the North,Castor,Star,NA
2021-12-17,Geminid of the North,Pollux,Star,NA
2021-12-17,Geminid of the North,Gemini,Constellation,NA
2021-12-18,Stephan's Quintet,Stephan's Quintet,Galaxy,NA
2021-12-18,Stephan's Quintet,NGC 7319,Galaxy,NA
2021-12-18,Stephan's Quintet,NGC 7318A,Galaxy,NA
2021-12-18,Stephan's Quintet,NGC 7318B,Galaxy,NA
2021-12-18,Stephan's Quintet,NGC 7317,Galaxy,NA
2021-12-18,Stephan's Quintet,NGC 7320,Galaxy,NA
2021-12-18,Stephan's Quintet,NGC 7320C,Galaxy,NA
2021-12-18,Stephan's Quintet,Pegasus,Constellation,NA
2021-12-19,Planetary Alignment over Italy,Venus,Planet,NA
2021-12-19,Planetary Alignment over Italy,Saturn,Planet,NA
2021-12-19,Planetary Alignment over Italy,Jupiter,Planet,NA
2021-12-19,Planetary Alignment over Italy,Moon,Moon,NA
2021-12-19,Planetary Alignment over Italy,Uranus,Planet,NA
2021-12-19,Planetary Alignment over Italy,Sun,Star,NA
2021-12-19,Planetary Alignment over Italy,Comet Leonard,Comet,NA
2021-12-20,The Comet and the Fireball,Comet Leonard,Comet,NA
2021-12-20,The Comet and the Fireball,Geminid Meteor Shower,Asteroid,NA
2021-12-21,Solstice Sun and Milky Way,Sun,Star,NA
2021-12-21,Solstice Sun and Milky Way,Milky Way,Galaxy,NA
2021-12-21,Solstice Sun and Milky Way,Sagittarius,Constellation,NA
2021-12-22,Launch of the IXPE Observatory,neutron stars,Star,NA
2021-12-22,Launch of the IXPE Observatory,black holes,Black Hole,NA
2021-12-22,Launch of the IXPE Observatory,galaxies,Galaxy,NA
2021-12-23,Three Planets and a Comet,Venus,Planet,NA
2021-12-23,Three Planets and a Comet,Saturn,Planet,NA
2021-12-23,Three Planets and a Comet,Jupiter,Planet,NA
2021-12-23,Three Planets and a Comet,Comet Leonard,Comet,NA
2021-12-24,M1: The Crab Nebula,Crab Nebula,Nebula,NA
2021-12-24,M1: The Crab Nebula,Crab Pulsar,Star,NA
2021-12-24,M1: The Crab Nebula,Taurus,Constellation,NA
2021-12-25,The Tail of a Christmas Comet,Comet Leonard,Comet,NA
2021-12-25,The Tail of a Christmas Comet,Sun,Star,NA
2021-12-25,The Tail of a Christmas Comet,Venus,Planet,NA
2021-12-26,James Webb Space Telescope over Earth,Sun,Star,NA
2021-12-26,James Webb Space Telescope over Earth,Milky Way Galaxy,Galaxy,NA
2021-12-27,Comet Leonard behind JWST Launch Plume,Comet Leonard,Comet,NA
2021-12-27,Comet Leonard behind JWST Launch Plume,Sun,Star,NA
2021-12-27,Comet Leonard behind JWST Launch Plume,Venus,Planet,NA
2021-12-28,Sun Halo over Sweden,Sun,Star,NA
2021-12-29,Giant Storms and High Clouds on Jupiter,Jupiter,Planet,NA
2021-12-29,Giant Storms and High Clouds on Jupiter,Great Red Spot,Planet,NA
2021-12-30,The Further Tail of Comet Leonard,Comet Leonard,Comet,NA
2021-12-30,The Further Tail of Comet Leonard,Jupiter,Planet,NA
2021-12-30,The Further Tail of Comet Leonard,Sun,Star,NA
2021-12-30,The Further Tail of Comet Leonard,Microscopium,Constellation,NA
2021-12-31,JWST on the Road to L2,Moon,Moon,NA
2021-12-31,JWST on the Road to L2,Sun,Star,NA
2022-01-01,The Full Moon of 2021,Moon,Moon,NA
2022-01-02,Quadruple Lunar Halo Over Winter Road,Moon,Moon,NA
2022-01-02,Quadruple Lunar Halo Over Winter Road,Sirius,Star,NA
2022-01-02,Quadruple Lunar Halo Over Winter Road,Orion,Constellation,NA
2022-01-02,Quadruple Lunar Halo Over Winter Road,Betelgeuse,Star,NA
2022-01-03,Comet Leonard's Long Tail,Comet Leonard,Comet,NA
2022-01-03,Comet Leonard's Long Tail,Sun,Star,NA
2022-01-03,Comet Leonard's Long Tail,Mercury,Planet,NA
2022-01-03,Comet Leonard's Long Tail,Venus,Planet,NA
2022-01-04,Moons Beyond Rings at Saturn,Saturn,Planet,NA
2022-01-04,Moons Beyond Rings at Saturn,Rhea,Moon,NA
2022-01-04,Moons Beyond Rings at Saturn,Janus,Moon,NA
2022-01-05,A Year of Sunrises,Sun,Star,NA
2022-01-06,The Last Days of Venus as the Evening Star,Venus,Planet,NA
2022-01-06,The Last Days of Venus as the Evening Star,Sun,Star,NA
2022-01-06,The Last Days of Venus as the Evening Star,Moon,Moon,NA
2022-01-07,Ecstatic Solar Eclipse,Moon,Moon,NA
2022-01-07,Ecstatic Solar Eclipse,Sun,Star,NA
2022-01-08,Quadrantids of the North,Polaris,Star,NA
2022-01-08,Quadrantids of the North,Big Dipper,Constellation,NA
2022-01-08,Quadrantids of the North,Bootes,Constellation,NA
2022-01-08,Quadrantids of the North,Draco,Constellation,NA
2022-01-08,Quadrantids of the North,Asteroid,Asteroid,NA
2022-01-09,Hubble's Jupiter and the Shrinking Great Red Spot,Jupiter,Planet,NA
2022-01-09,Hubble's Jupiter and the Shrinking Great Red Spot,Great Red Spot,Planet,NA
2022-01-10,Comet Leonard's Tail Wag,Comet Leonard,Comet,NA
2022-01-10,Comet Leonard's Tail Wag,Sun,Star,NA
2022-01-10,Comet Leonard's Tail Wag,Mercury,Planet,NA
2022-01-10,Comet Leonard's Tail Wag,Venus,Planet,NA
2022-01-11,Orion's Belt Region in Gas and Dust,Mintaka,Star,NA
2022-01-11,Orion's Belt Region in Gas and Dust,Alnilam,Star,NA
2022-01-11,Orion's Belt Region in Gas and Dust,Alnitak,Star,NA
2022-01-11,Orion's Belt Region in Gas and Dust,Horsehead Nebula,Nebula,NA
2022-01-11,Orion's Belt Region in Gas and Dust,Flame Nebula,Nebula,NA
2022-01-11,Orion's Belt Region in Gas and Dust,Orion Nebula,Nebula,NA
2022-01-11,Orion's Belt Region in Gas and Dust,Orion,Constellation,NA
2022-01-12,Comet Leonard Closeup from Australia,Comet Leonard,Comet,NA
2022-01-12,Comet Leonard Closeup from Australia,Sun,Star,NA
2022-01-13,Supernova Remnant Simeis 147,Spaghetti Nebula,Nebula,NA
2022-01-13,Supernova Remnant Simeis 147,Taurus,Constellation,NA
2022-01-13,Supernova Remnant Simeis 147,Auriga,Constellation,NA
2022-01-13,Supernova Remnant Simeis 147,neutron star,Star,NA
2022-01-14,NGC 1566: The Spanish Dancer Spiral Galaxy,NGC 1566,Galaxy,NA
2022-01-14,NGC 1566: The Spanish Dancer Spiral Galaxy,Milky Way,Galaxy,NA
2022-01-14,NGC 1566: The Spanish Dancer Spiral Galaxy,Black Hole,Black Hole,NA
2022-01-14,NGC 1566: The Spanish Dancer Spiral Galaxy,Dorado,Constellation,NA
2022-01-15,Galileo's Europa,Europa,Moon,NA
2022-01-15,Galileo's Europa,Jupiter,Planet,NA
2022-01-16,A Retreating Thunderstorm at Sunset,Moon,Moon,NA
