gender,age_group,age,marital_status,state,zone,occupation,product_category,amount
F,26-35,28,0,Delhi,Central,Govt,Footwear & Shoes,16765
M,18-25,23,0,Haryana,Northern,Aviation,Tupperware,16761
F,26-35,26,1,Karnataka,Southern,Healthcare,Footwear & Shoes,16760
M,18-25,19,1,Uttar Pradesh,Central,Govt,Footwear & Shoes,16760
F,36-45,45,0,Delhi,Central,Banking,Footwear & Shoes,16758
M,18-25,23,1,Karnataka,Southern,Chemical,Tupperware,16753
F,36-45,44,1,Delhi,Central,IT Sector,Footwear & Shoes,16751
M,36-45,38,1,Uttar Pradesh,Central,IT Sector,Footwear & Shoes,16749
F,46-50,46,0,Karnataka,Southern,Healthcare,Footwear & Shoes,16747
F,26-35,28,1,Karnataka,Southern,Aviation,Footwear & Shoes,16745
F,26-35,33,1,Karnataka,Southern,Banking,Footwear & Shoes,16732
M,36-45,37,1,Karnataka,Southern,Banking,Footwear & Shoes,16732
F,46-50,49,1,Maharashtra,Western,Textile,Tupperware,16732
F,36-45,44,1,Delhi,Central,Banking,Footwear & Shoes,16727
M,36-45,26,1,Karnataka,Southern,Aviation,Footwear & Shoes,16726
F,36-45,43,1,Delhi,Central,Food Processing,Footwear & Shoes,16724
F,36-45,43,0,Kerala,Southern,Media,Tupperware,16724
F,26-35,28,1,Karnataka,Southern,Aviation,Footwear & Shoes,16721
F,26-35,34,1,Maharashtra,Western,Aviation,Footwear & Shoes,16720
F,26-35,33,0,Uttar Pradesh,Central,Aviation,Footwear & Shoes,16719
F,46-50,47,1,Karnataka,Southern,Lawyer,Footwear & Shoes,16717
F,36-45,37,0,Madhya Pradesh,Central,Chemical,Footwear & Shoes,16716
F,51-55,54,0,Madhya Pradesh,Central,Aviation,Footwear & Shoes,16716
F,36-45,41,0,Uttar Pradesh,Central,Chemical,Footwear & Shoes,16716
F,46-50,50,0,Delhi,Central,Aviation,Footwear & Shoes,16715
F,26-35,32,0,Karnataka,Southern,IT Sector,Footwear & Shoes,16715
F,36-45,43,1,Uttar Pradesh,Central,Chemical,Tupperware,16713
F,26-35,34,0,Madhya Pradesh,Central,Hospitality,Footwear & Shoes,16711
F,26-35,27,1,Delhi,Central,Food Processing,Footwear & Shoes,16710
F,55+,87,1,Gujarat,Western,Aviation,Furniture,16709
F,26-35,26,0,Madhya Pradesh,Central,Agriculture,Footwear & Shoes,16707
M,36-45,40,1,Uttar Pradesh,Central,Hospitality,Furniture,16706
F,46-50,50,1,Uttar Pradesh,Central,Hospitality,Furniture,16706
M,0-17,16,0,Maharashtra,Western,Media,Stationery,16705
M,26-35,35,0,Uttarakhand,Central,Media,Footwear & Shoes,16704
F,18-25,18,1,Himachal Pradesh,Northern,Lawyer,Furniture,16701
F,51-55,52,1,Karnataka,Southern,Banking,Footwear & Shoes,16701
F,36-45,44,0,Maharashtra,Western,Banking,Tupperware,16698
F,26-35,26,0,Karnataka,Southern,Retail,Footwear & Shoes,16693
F,18-25,23,1,Gujarat,Western,Retail,Furniture,16692
M,36-45,41,1,Maharashtra,Western,Lawyer,Footwear & Shoes,16692
F,26-35,31,0,Uttar Pradesh,Central,IT Sector,Footwear & Shoes,16691
M,55+,61,0,Uttar Pradesh,Central,Healthcare,Footwear & Shoes,16687
F,36-45,45,0,Delhi,Central,Govt,Footwear & Shoes,16685
F,46-50,47,0,Maharashtra,Western,Retail,Footwear & Shoes,16685
M,55+,91,1,Uttar Pradesh,Central,IT Sector,Footwear & Shoes,16685
M,26-35,26,0,Karnataka,Southern,Food Processing,Footwear & Shoes,16684
F,36-45,39,1,Delhi,Central,Hospitality,Footwear & Shoes,16681
F,51-55,53,0,Karnataka,Southern,IT Sector,Footwear & Shoes,16681
F,26-35,27,0,Uttar Pradesh,Central,Retail,Footwear & Shoes,16681
F,36-45,42,0,Karnataka,Southern,Automobile,Footwear & Shoes,16674
F,26-35,35,0,Delhi,Central,Retail,Stationery,16673
F,26-35,35,1,Delhi,Central,IT Sector,Footwear & Shoes,16672
F,26-35,31,0,Karnataka,Southern,Aviation,Footwear & Shoes,16671
F,18-25,20,1,Maharashtra,Western,Govt,Furniture,16671
F,36-45,36,0,Karnataka,Southern,Banking,Footwear & Shoes,16669
M,26-35,31,0,Uttar Pradesh,Central,Construction,Furniture,16669
F,46-50,47,0,Bihar,Eastern,IT Sector,Furniture,16665
F,26-35,34,0,Delhi,Central,Media,Footwear & Shoes,16664
F,51-55,52,0,Madhya Pradesh,Central,Aviation,Footwear & Shoes,16664
M,18-25,22,1,Uttar Pradesh,Central,IT Sector,Furniture,16664
F,26-35,33,1,Delhi,Central,IT Sector,Footwear & Shoes,16663
M,0-17,15,0,Uttar Pradesh,Central,Govt,Furniture,16662
F,26-35,28,0,Maharashtra,Western,Aviation,Furniture,16658
M,36-45,45,1,Delhi,Central,Media,Footwear & Shoes,16655
F,46-50,47,0,Karnataka,Southern,Media,Footwear & Shoes,16655
F,36-45,44,1,Karnataka,Southern,Govt,Footwear & Shoes,16654
F,36-45,39,0,Delhi,Central,Media,Stationery,16651
M,36-45,43,0,Andhra Pradesh,Southern,Healthcare,Footwear & Shoes,16649
F,36-45,44,0,Delhi,Central,Healthcare,Footwear & Shoes,16649
M,46-50,49,1,Uttar Pradesh,Central,Healthcare,Furniture,16649
F,46-50,48,0,Delhi,Central,Banking,Footwear & Shoes,16643
F,26-35,35,1,Karnataka,Southern,Media,Footwear & Shoes,16643
F,26-35,35,0,Karnataka,Southern,Banking,Footwear & Shoes,16643
F,18-25,18,0,Kerala,Southern,Govt,Furniture,16637
M,46-50,47,0,Uttar Pradesh,Central,Automobile,Footwear & Shoes,16636
M,55+,77,0,Uttar Pradesh,Central,Automobile,Footwear & Shoes,16636
M,18-25,20,0,Karnataka,Southern,IT Sector,Furniture,16634
F,26-35,29,1,Kerala,Southern,Food Processing,Furniture,16633
M,26-35,28,0,Bihar,Eastern,Healthcare,Footwear & Shoes,16631
F,36-45,37,0,Delhi,Central,IT Sector,Footwear & Shoes,16630
F,46-50,47,1,Rajasthan,Northern,Construction,Furniture,16627
F,26-35,34,0,Maharashtra,Western,Aviation,Footwear & Shoes,16626
F,26-35,26,0,Uttar Pradesh,Central,Aviation,Stationery,16624
M,36-45,43,1,Delhi,Central,Govt,Stationery,16623
F,46-50,47,1,Maharashtra,Western,Automobile,Furniture,16622
F,36-45,42,1,Delhi,Central,Banking,Footwear & Shoes,16620
M,26-35,32,0,Madhya Pradesh,Central,Textile,Footwear & Shoes,16620
M,46-50,47,0,Uttar Pradesh,Central,Aviation,Footwear & Shoes,16618
F,46-50,48,0,Madhya Pradesh,Central,Banking,Footwear & Shoes,16616
M,26-35,29,1,Kerala,Southern,Govt,Furniture,16614
F,51-55,53,1,Madhya Pradesh,Central,Banking,Furniture,16614
M,55+,85,0,Uttar Pradesh,Central,Banking,Footwear & Shoes,16614
F,26-35,32,1,Jharkhand,Eastern,Automobile,Furniture,16613
F,26-35,27,1,Karnataka,Southern,Healthcare,Footwear & Shoes,16613
F,26-35,35,0,Karnataka,Southern,Textile,Footwear & Shoes,16612
M,18-25,19,0,Maharashtra,Western,IT Sector,Furniture,16610
F,18-25,21,1,Uttar Pradesh,Central,Aviation,Tupperware,16610
F,36-45,38,0,Uttar Pradesh,Central,IT Sector,Footwear & Shoes,16608
F,26-35,30,0,Karnataka,Southern,Banking,Footwear & Shoes,16606
M,46-50,47,0,Karnataka,Southern,Chemical,Furniture,16604
M,46-50,46,0,Madhya Pradesh,Central,Hospitality,Furniture,16599
M,51-55,51,0,Maharashtra,Western,Hospitality,Furniture,16599
F,26-35,26,0,Rajasthan,Northern,Healthcare,Furniture,16598
F,26-35,32,1,Madhya Pradesh,Central,Govt,Footwear & Shoes,16597
M,26-35,32,0,Karnataka,Southern,Hospitality,Furniture,16596
F,36-45,41,0,Karnataka,Southern,Aviation,Footwear & Shoes,16595
F,51-55,54,0,Karnataka,Southern,Aviation,Footwear & Shoes,16595
M,18-25,24,1,Uttar Pradesh,Central,Banking,Footwear & Shoes,16593
M,36-45,44,1,Uttar Pradesh,Central,Healthcare,Footwear & Shoes,16592
F,26-35,31,0,Gujarat,Western,IT Sector,Furniture,16588
F,36-45,41,1,Karnataka,Southern,Govt,Footwear & Shoes,16588
F,18-25,25,1,Bihar,Eastern,Retail,Furniture,16587
F,36-45,42,0,Delhi,Central,Aviation,Footwear & Shoes,16585
M,51-55,53,1,Andhra Pradesh,Southern,Chemical,Footwear & Shoes,16581
M,51-55,53,1,Gujarat,Western,Chemical,Footwear & Shoes,16581
F,26-35,35,0,Karnataka,Southern,Media,Footwear & Shoes,16579
F,36-45,39,0,Karnataka,Southern,Aviation,Footwear & Shoes,16578
F,26-35,30,1,Uttar Pradesh,Central,Agriculture,Footwear & Shoes,16578
F,26-35,30,0,Rajasthan,Northern,Retail,Furniture,16577
F,46-50,48,0,Kerala,Southern,Automobile,Furniture,16576
F,26-35,30,0,Karnataka,Southern,Banking,Footwear & Shoes,16574
F,26-35,28,1,Delhi,Central,Govt,Footwear & Shoes,16573
F,36-45,42,0,Uttar Pradesh,Central,Hospitality,Footwear & Shoes,16569
F,36-45,39,0,Delhi,Central,Retail,Footwear & Shoes,16568
M,18-25,23,0,Uttar Pradesh,Central,Automobile,Furniture,16568
F,51-55,51,0,Delhi,Central,Banking,Footwear & Shoes,16567
F,36-45,42,0,Maharashtra,Western,Aviation,Furniture,16566
F,26-35,31,1,Karnataka,Southern,Food Processing,Footwear & Shoes,16565
M,36-45,40,1,Maharashtra,Western,Aviation,Footwear & Shoes,16564
F,26-35,33,0,Uttar Pradesh,Central,Banking,Footwear & Shoes,16563
M,36-45,43,0,Andhra Pradesh,Southern,Hospitality,Footwear & Shoes,16562
M,36-45,36,1,Uttar Pradesh,Central,Food Processing,Footwear & Shoes,16561
F,36-45,41,1,Karnataka,Southern,Lawyer,Footwear & Shoes,16560
F,36-45,39,1,Maharashtra,Western,Aviation,Footwear & Shoes,16560
F,26-35,31,1,Delhi,Central,Agriculture,Footwear & Shoes,16553
F,26-35,27,1,Delhi,Central,Lawyer,Footwear & Shoes,16552
M,26-35,31,0,Karnataka,Southern,Healthcare,Footwear & Shoes,16552
F,46-50,48,1,Delhi,Central,Automobile,Footwear & Shoes,16551
F,26-35,29,0,Delhi,Central,Healthcare,Footwear & Shoes,16550
F,18-25,24,0,Kerala,Southern,Govt,Furniture,16550
F,36-45,39,0,Uttarakhand,Central,Chemical,Tupperware,16549
M,46-50,48,0,Andhra Pradesh,Southern,Hospitality,Footwear & Shoes,16548
F,26-35,27,0,Maharashtra,Western,Media,Footwear & Shoes,16548
F,26-35,32,0,Maharashtra,Western,Retail,Footwear & Shoes,16548
F,36-45,45,0,Delhi,Central,Agriculture,Footwear & Shoes,16544
M,46-50,47,0,Uttar Pradesh,Central,Banking,Furniture,16540
F,26-35,30,0,Karnataka,Southern,Retail,Footwear & Shoes,16539
F,26-35,28,0,Karnataka,Southern,Media,Footwear & Shoes,16537
F,26-35,31,0,Kerala,Southern,Chemical,Furniture,16534
F,36-45,37,0,Uttar Pradesh,Central,Hospitality,Tupperware,16533
M,46-50,48,0,Madhya Pradesh,Central,Chemical,Furniture,16532
F,36-45,44,1,Himachal Pradesh,Northern,Chemical,Furniture,16530
F,46-50,50,1,Delhi,Central,Hospitality,Footwear & Shoes,16527
F,36-45,38,1,Karnataka,Southern,Govt,Footwear & Shoes,16527
F,18-25,25,0,Uttar Pradesh,Central,Retail,Furniture,16525
F,26-35,29,0,Kerala,Southern,IT Sector,Furniture,16524
F,36-45,38,0,Uttar Pradesh,Central,Aviation,Footwear & Shoes,16522
F,26-35,31,0,Madhya Pradesh,Central,Construction,Footwear & Shoes,16520
F,46-50,48,1,Karnataka,Southern,Lawyer,Footwear & Shoes,16518
M,51-55,54,0,Uttar Pradesh,Central,Media,Furniture,16518
M,26-35,28,0,Uttarakhand,Central,Aviation,Furniture,16518
F,36-45,42,0,Karnataka,Southern,IT Sector,Footwear & Shoes,16517
M,26-35,33,1,Karnataka,Southern,Govt,Furniture,16516
F,18-25,22,0,Delhi,Central,Automobile,Footwear & Shoes,16512
F,55+,76,0,Gujarat,Western,Retail,Furniture,16512
F,26-35,26,1,Maharashtra,Western,Healthcare,Footwear & Shoes,16511
M,51-55,54,1,Jharkhand,Eastern,Banking,Footwear & Shoes,16510
F,26-35,33,1,Uttar Pradesh,Central,Lawyer,Footwear & Shoes,16510
M,36-45,37,0,Karnataka,Southern,Aviation,Footwear & Shoes,16509
F,26-35,33,1,Madhya Pradesh,Central,Govt,Furniture,16509
F,26-35,35,0,Delhi,Central,Food Processing,Footwear & Shoes,16506
M,51-55,52,1,Uttar Pradesh,Central,Chemical,Footwear & Shoes,16501
F,26-35,27,0,Uttar Pradesh,Central,IT Sector,Games & Toys,16499
F,26-35,32,1,Karnataka,Southern,IT Sector,Footwear & Shoes,16496
F,36-45,45,0,Karnataka,Southern,Textile,Games & Toys,16494
F,46-50,49,1,Karnataka,Southern,IT Sector,Footwear & Shoes,16491
F,26-35,26,1,Karnataka,Southern,Govt,Footwear & Shoes,16490
F,36-45,37,0,Madhya Pradesh,Central,Hospitality,Footwear & Shoes,16490
F,51-55,55,1,Maharashtra,Western,Chemical,Footwear & Shoes,16489
F,51-55,53,1,Delhi,Central,Textile,Footwear & Shoes,16488
F,26-35,31,1,Maharashtra,Western,Chemical,Games & Toys,16486
F,26-35,27,0,Kerala,Southern,Hospitality,Furniture,16484
M,36-45,45,1,Madhya Pradesh,Central,Hospitality,Furniture,16484
F,26-35,34,1,Uttar Pradesh,Central,Media,Games & Toys,16484
F,26-35,30,0,Bihar,Eastern,Banking,Games & Toys,16480
F,36-45,44,1,Delhi,Central,Aviation,Footwear & Shoes,16479
M,36-45,44,0,Delhi,Central,Govt,Footwear & Shoes,16478
M,55+,68,0,Andhra Pradesh,Southern,IT Sector,Footwear & Shoes,16475
F,26-35,30,0,Delhi,Central,Hospitality,Footwear & Shoes,16475
F,26-35,31,0,Delhi,Central,Healthcare,Footwear & Shoes,16475
F,36-45,42,0,Karnataka,Southern,Lawyer,Footwear & Shoes,16475
M,51-55,52,0,Uttar Pradesh,Central,Media,Footwear & Shoes,16475
F,26-35,29,1,Bihar,Eastern,Aviation,Games & Toys,16472
M,51-55,54,0,Delhi,Central,Chemical,Footwear & Shoes,16472
F,36-45,39,0,Andhra Pradesh,Southern,Lawyer,Games & Toys,16471
F,26-35,35,0,Madhya Pradesh,Central,Govt,Footwear & Shoes,16471
F,26-35,26,0,Uttar Pradesh,Central,IT Sector,Tupperware,16469
F,26-35,33,1,Himachal Pradesh,Northern,Hospitality,Furniture,16466
F,26-35,28,1,Delhi,Central,Banking,Footwear & Shoes,16461
F,36-45,45,0,Karnataka,Southern,Govt,Footwear & Shoes,16461
M,46-50,47,1,Andhra Pradesh,Southern,Banking,Games & Toys,16460
F,36-45,36,1,Uttar Pradesh,Central,Lawyer,Footwear & Shoes,16460
F,26-35,31,0,Gujarat,Western,IT Sector,Games & Toys,16458
F,36-45,44,0,Delhi,Central,Automobile,Footwear & Shoes,16456
F,0-17,14,1,Haryana,Northern,Agriculture,Furniture,16456
M,51-55,51,0,Haryana,Northern,Govt,Footwear & Shoes,16453
F,36-45,45,0,Madhya Pradesh,Central,Food Processing,Footwear & Shoes,16452
F,26-35,26,1,Delhi,Central,Banking,Footwear & Shoes,16451
F,36-45,38,0,Delhi,Central,Retail,Footwear & Shoes,16451
F,26-35,26,0,Delhi,Central,Chemical,Footwear & Shoes,16450
F,46-50,46,1,Karnataka,Southern,Banking,Footwear & Shoes,16449
F,36-45,41,0,Karnataka,Southern,Hospitality,Footwear & Shoes,16447
F,36-45,40,1,Karnataka,Southern,Food Processing,Footwear & Shoes,16444
M,26-35,27,0,Rajasthan,Northern,Healthcare,Footwear & Shoes,16444
F,26-35,33,1,Uttar Pradesh,Central,Banking,Furniture,16444
F,18-25,21,1,Bihar,Eastern,Aviation,Furniture,16443
F,36-45,38,0,Karnataka,Southern,Banking,Footwear & Shoes,16443
M,36-45,45,0,Karnataka,Southern,Food Processing,Footwear & Shoes,16441
F,55+,81,1,Karnataka,Southern,Food Processing,Furniture,16438
F,36-45,38,0,Gujarat,Western,Retail,Furniture,16435
F,26-35,31,1,Kerala,Southern,Aviation,Tupperware,16435
F,36-45,37,0,Haryana,Northern,Textile,Games & Toys,16427
F,26-35,35,0,Uttar Pradesh,Central,Aviation,Footwear & Shoes,16426
M,51-55,54,1,Haryana,Northern,Hospitality,Footwear & Shoes,16425
F,26-35,28,1,Uttar Pradesh,Central,Banking,Games & Toys,16423
F,26-35,29,0,Karnataka,Southern,Healthcare,Footwear & Shoes,16422
F,51-55,51,0,Karnataka,Southern,Aviation,Footwear & Shoes,16419
F,26-35,30,0,Kerala,Southern,Hospitality,Furniture,16418
F,46-50,49,1,Madhya Pradesh,Central,Food Processing,Footwear & Shoes,16418
F,26-35,30,0,Uttar Pradesh,Central,Hospitality,Furniture,16416
F,18-25,21,0,Uttarakhand,Central,Automobile,Furniture,16416
F,51-55,51,0,Uttar Pradesh,Central,IT Sector,Games & Toys,16415
F,26-35,35,0,Karnataka,Southern,IT Sector,Footwear & Shoes,16413
F,36-45,42,1,Uttar Pradesh,Central,Aviation,Footwear & Shoes,16412
F,36-45,42,0,Gujarat,Western,IT Sector,Furniture,16409
F,46-50,46,1,Karnataka,Southern,Banking,Footwear & Shoes,16409
F,26-35,28,0,Maharashtra,Western,Media,Furniture,16408
F,26-35,35,1,Delhi,Central,Retail,Footwear & Shoes,16407
F,26-35,35,1,Delhi,Central,Lawyer,Footwear & Shoes,16407
M,36-45,43,0,Madhya Pradesh,Central,Hospitality,Games & Toys,16405
F,36-45,43,0,Madhya Pradesh,Central,Healthcare,Footwear & Shoes,16404
F,46-50,49,0,Karnataka,Southern,Govt,Footwear & Shoes,16403
F,26-35,33,0,Karnataka,Southern,IT Sector,Footwear & Shoes,16401
F,18-25,25,0,Uttar Pradesh,Central,Construction,Furniture,16398
F,36-45,40,1,Madhya Pradesh,Central,Aviation,Footwear & Shoes,16397
F,51-55,52,1,Haryana,Northern,Media,Furniture,16396
F,26-35,27,0,Karnataka,Southern,Aviation,Footwear & Shoes,16396
M,36-45,37,0,Himachal Pradesh,Northern,IT Sector,Footwear & Shoes,16395
M,51-55,51,0,Himachal Pradesh,Northern,Healthcare,Footwear & Shoes,16393
F,36-45,40,1,Delhi,Central,IT Sector,Footwear & Shoes,16392
M,26-35,26,1,Andhra Pradesh,Southern,Food Processing,Footwear & Shoes,16391
F,26-35,26,1,Delhi,Central,Govt,Footwear & Shoes,16390
F,26-35,27,0,Uttar Pradesh,Central,Healthcare,Games & Toys,16390
M,51-55,52,1,Uttar Pradesh,Central,IT Sector,Footwear & Shoes,16390
F,46-50,48,1,Delhi,Central,Govt,Footwear & Shoes,16386
M,51-55,53,0,Uttarakhand,Central,Healthcare,Footwear & Shoes,16386
F,26-35,27,0,Haryana,Northern,Govt,Furniture,16385
F,36-45,45,1,Maharashtra,Western,Govt,Games & Toys,16385
F,26-35,30,1,Karnataka,Southern,Hospitality,Footwear & Shoes,16384
F,26-35,32,1,Karnataka,Southern,Hospitality,Footwear & Shoes,16382
F,36-45,43,0,Karnataka,Southern,Chemical,Footwear & Shoes,16382
F,26-35,32,1,Karnataka,Southern,Banking,Footwear & Shoes,16380
F,46-50,50,1,Karnataka,Southern,Aviation,Footwear & Shoes,16380
F,36-45,43,0,Karnataka,Southern,Retail,Footwear & Shoes,16379
M,51-55,55,0,Karnataka,Southern,Hospitality,Footwear & Shoes,16378
F,46-50,47,0,Madhya Pradesh,Central,Banking,Footwear & Shoes,16377
F,26-35,29,1,Uttar Pradesh,Central,Food Processing,Games & Toys,16377
F,26-35,29,0,Gujarat,Western,IT Sector,Furniture,16376
F,46-50,46,0,Gujarat,Western,Healthcare,Games & Toys,16376
F,36-45,41,0,Delhi,Central,Healthcare,Footwear & Shoes,16375
F,36-45,42,1,Delhi,Central,Banking,Footwear & Shoes,16375
F,26-35,29,1,Karnataka,Southern,Retail,Footwear & Shoes,16375
F,26-35,33,1,Delhi,Central,Chemical,Footwear & Shoes,16372
M,36-45,44,1,Maharashtra,Western,Chemical,Footwear & Shoes,16369
F,46-50,46,1,Bihar,Eastern,Chemical,Furniture,16367
M,55+,64,1,Uttar Pradesh,Central,Media,Footwear & Shoes,16366
F,36-45,42,0,Uttar Pradesh,Central,Construction,Tupperware,16365
M,26-35,30,1,Maharashtra,Western,Healthcare,Furniture,16364
F,26-35,26,0,Himachal Pradesh,Northern,Construction,Furniture,16363
F,26-35,32,1,Rajasthan,Northern,Automobile,Furniture,16362
F,36-45,41,1,Delhi,Central,Govt,Footwear & Shoes,16360
F,36-45,45,1,Madhya Pradesh,Central,Chemical,Footwear & Shoes,16359
F,18-25,20,0,Uttar Pradesh,Central,Banking,Footwear & Shoes,16357
F,18-25,22,0,Uttar Pradesh,Central,Hospitality,Furniture,16357
F,51-55,52,1,Karnataka,Southern,Banking,Footwear & Shoes,16355
F,26-35,34,1,Delhi,Central,IT Sector,Footwear & Shoes,16354
F,26-35,33,0,Karnataka,Southern,Aviation,Footwear & Shoes,16354
F,26-35,34,1,Madhya Pradesh,Central,Govt,Footwear & Shoes,16354
F,26-35,31,0,Maharashtra,Western,Aviation,Furniture,16353
F,18-25,20,1,Uttar Pradesh,Central,Retail,Footwear & Shoes,16353
F,36-45,39,0,Delhi,Central,Aviation,Footwear & Shoes,16351
F,26-35,31,0,Bihar,Eastern,Construction,Furniture,16349
F,46-50,48,1,Delhi,Central,Agriculture,Footwear & Shoes,16349
M,36-45,38,0,Maharashtra,Western,Banking,Footwear & Shoes,16348
M,26-35,34,0,Uttar Pradesh,Central,IT Sector,Games & Toys,16348
F,36-45,42,1,Karnataka,Southern,Media,Footwear & Shoes,16346
F,36-45,40,1,Madhya Pradesh,Central,Media,Footwear & Shoes,16345
F,26-35,35,1,Maharashtra,Western,IT Sector,Furniture,16344
F,26-35,34,1,Delhi,Central,Food Processing,Footwear & Shoes,16343
F,46-50,46,0,Delhi,Central,IT Sector,Footwear & Shoes,16343
M,36-45,41,1,Karnataka,Southern,Aviation,Footwear & Shoes,16340
M,26-35,28,0,Uttar Pradesh,Central,Banking,Games & Toys,16337
M,18-25,20,0,Karnataka,Southern,Healthcare,Games & Toys,16331
F,26-35,35,0,Delhi,Central,Aviation,Footwear & Shoes,16329
M,36-45,42,0,Andhra Pradesh,Southern,Banking,Games & Toys,16325
F,36-45,37,1,Andhra Pradesh,Southern,Retail,Games & Toys,16324
M,36-45,44,1,Uttar Pradesh,Central,Govt,Footwear & Shoes,16324
F,46-50,46,0,Delhi,Central,Hospitality,Footwear & Shoes,16321
F,36-45,43,0,Delhi,Central,Aviation,Footwear & Shoes,16319
M,26-35,28,1,Himachal Pradesh,Northern,IT Sector,Footwear & Shoes,16318
M,36-45,39,1,Maharashtra,Western,IT Sector,Tupperware,16317
F,26-35,34,0,Maharashtra,Western,Media,Footwear & Shoes,16316
M,46-50,46,0,Delhi,Central,Chemical,Games & Toys,16314
M,26-35,28,0,Bihar,Eastern,Food Processing,Tupperware,16311
F,26-35,29,0,Madhya Pradesh,Central,IT Sector,Games & Toys,16311
F,51-55,53,0,Uttar Pradesh,Central,Healthcare,Furniture,16304
M,51-55,53,1,Haryana,Northern,Automobile,Footwear & Shoes,16303
F,36-45,36,1,Karnataka,Southern,IT Sector,Footwear & Shoes,16302
F,46-50,50,1,Uttar Pradesh,Central,Aviation,Footwear & Shoes,16300
F,36-45,43,1,Delhi,Central,Chemical,Footwear & Shoes,16298
F,36-45,38,1,Uttar Pradesh,Central,Textile,Games & Toys,16297
F,26-35,27,1,Delhi,Central,IT Sector,Footwear & Shoes,16294
F,26-35,35,1,Himachal Pradesh,Northern,Govt,Games & Toys,16292
M,36-45,45,0,Karnataka,Southern,Healthcare,Furniture,16292
F,26-35,27,0,Uttar Pradesh,Central,Banking,Furniture,16290
F,26-35,35,0,Maharashtra,Western,Automobile,Footwear & Shoes,16289
F,26-35,30,1,Delhi,Central,Lawyer,Footwear & Shoes,16288
F,36-45,38,0,Delhi,Central,Agriculture,Footwear & Shoes,16288
M,26-35,35,0,Uttar Pradesh,Central,Lawyer,Games & Toys,16287
M,51-55,54,1,Uttar Pradesh,Central,Banking,Furniture,16287
F,26-35,29,0,Madhya Pradesh,Central,Retail,Furniture,16284
M,36-45,42,0,Uttarakhand,Central,Banking,Games & Toys,16283
M,26-35,30,1,Delhi,Central,Healthcare,Games & Toys,16282
F,26-35,35,0,Maharashtra,Western,Automobile,Tupperware,16279
F,26-35,29,0,Delhi,Central,Healthcare,Footwear & Shoes,16278
F,51-55,54,0,Maharashtra,Western,Aviation,Footwear & Shoes,16277
F,26-35,29,0,Uttar Pradesh,Central,IT Sector,Footwear & Shoes,16277
F,26-35,26,0,Delhi,Central,Lawyer,Footwear & Shoes,16276
M,26-35,28,0,Uttarakhand,Central,Healthcare,Footwear & Shoes,16274
F,26-35,28,0,Delhi,Central,Textile,Footwear & Shoes,16271
F,18-25,21,0,Uttarakhand,Central,Govt,Furniture,16271
F,18-25,19,0,Karnataka,Southern,IT Sector,Footwear & Shoes,16270
F,36-45,39,1,Delhi,Central,IT Sector,Footwear & Shoes,16268
F,36-45,44,0,Madhya Pradesh,Central,Food Processing,Footwear & Shoes,16268
M,46-50,48,1,Delhi,Central,IT Sector,Games & Toys,16267
M,51-55,54,0,Himachal Pradesh,Northern,Banking,Footwear & Shoes,16266
M,55+,75,0,Bihar,Eastern,Lawyer,Footwear & Shoes,16264
F,55+,82,0,Haryana,Northern,IT Sector,Games & Toys,16257
F,26-35,29,0,Karnataka,Southern,Retail,Games & Toys,16257
M,26-35,30,0,Gujarat,Western,IT Sector,Games & Toys,16255
F,36-45,42,0,Kerala,Southern,Chemical,Furniture,16251
F,26-35,29,1,Andhra Pradesh,Southern,Healthcare,Games & Toys,16245
F,46-50,48,0,Delhi,Central,Banking,Footwear & Shoes,16245
M,26-35,34,1,Himachal Pradesh,Northern,Automobile,Games & Toys,16244
M,0-17,14,0,Maharashtra,Western,Banking,Furniture,16244
F,26-35,26,1,Delhi,Central,Govt,Footwear & Shoes,16242
F,26-35,30,0,Karnataka,Southern,Govt,Games & Toys,16241
F,26-35,28,1,Delhi,Central,Textile,Footwear & Shoes,16240
M,36-45,41,1,Uttarakhand,Central,Hospitality,Games & Toys,16239
F,26-35,28,1,Karnataka,Southern,Construction,Games & Toys,16236
F,51-55,53,1,Uttar Pradesh,Central,Banking,Footwear & Shoes,16236
F,26-35,31,0,Delhi,Central,Lawyer,Footwear & Shoes,16230
F,26-35,26,0,Madhya Pradesh,Central,Aviation,Footwear & Shoes,16227
F,51-55,55,1,Karnataka,Southern,Healthcare,Footwear & Shoes,16225
F,26-35,31,1,Delhi,Central,Hospitality,Footwear & Shoes,16224
M,51-55,52,0,Delhi,Central,Govt,Footwear & Shoes,16224
F,18-25,18,1,Madhya Pradesh,Central,Govt,Games & Toys,16222
F,46-50,46,1,Delhi,Central,Hospitality,Footwear & Shoes,16221
M,55+,58,1,Bihar,Eastern,Retail,Footwear & Shoes,16220
M,46-50,50,1,Karnataka,Southern,Media,Footwear & Shoes,16219
F,26-35,35,1,Maharashtra,Western,Automobile,Games & Toys,16219
F,26-35,35,0,Bihar,Eastern,Aviation,Furniture,16217
F,26-35,32,1,Delhi,Central,Healthcare,Footwear & Shoes,16216
F,26-35,30,0,Uttar Pradesh,Central,IT Sector,Footwear & Shoes,16216
M,26-35,32,0,Haryana,Northern,Textile,Games & Toys,16215
F,26-35,28,0,Uttar Pradesh,Central,Healthcare,Footwear & Shoes,16214
M,51-55,55,0,Bihar,Eastern,Retail,Footwear & Shoes,16213
